Temperature,Simulations,Return,Discounted Return,Map
1,32,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'FFFF', 'FFFG']"
1,14,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'FFHG']"
1,93,0,1.0,0.8761671489944468,"['SFHH', 'HFFF', 'HFHF', 'HHFG']"
1,11,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFF', 'HHHG']"
1,97,0,1.0,0.9704017769489168,"['SFHF', 'FHHF', 'FHFF', 'FFFG']"
1,51,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFF', 'HHFG']"
1,44,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FFFF', 'FFHG']"
1,78,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'HFHF', 'HHFG']"
1,26,0,1.0,0.7584982177744161,"['SFHH', 'HFFH', 'HFFF', 'HHHG']"
1,46,0,1.0,0.7539540549517295,"['SFFH', 'FHFH', 'HHFF', 'FFHG']"
1,100,0,1.0,0.9791880578299021,"['SHHH', 'FHFF', 'FFFH', 'FFFG']"
1,35,0,1.0,0.9674905716180701,"['SHHF', 'FFHF', 'FFFF', 'HFFG']"
1,71,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'FFHG']"
1,52,0,1.0,0.9645880999032158,"['SFFF', 'HHFF', 'HFFH', 'HHFG']"
1,34,0,1.0,0.9276389118674717,"['SFFF', 'HFHF', 'HFHF', 'HFHG']"
1,72,0,1.0,0.9791880578299021,"['SHHF', 'FFHF', 'FFFF', 'FHHG']"
1,79,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'FFHF', 'HFFG']"
1,82,0,1.0,0.9645880999032158,"['SHHH', 'FFFH', 'HFFF', 'HFHG']"
1,69,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'HFFF', 'HHHG']"
1,97,0,1.0,0.9733217421754432,"['SFFF', 'FHFH', 'HHFH', 'HFFG']"
1,64,0,1.0,0.9674905716180701,"['SFFH', 'FFFH', 'FFHF', 'FFFG']"
1,35,0,1.0,0.9762504936564125,"['SFHF', 'FFFF', 'HFFF', 'FHFG']"
1,11,0,0.0,0.0,"['SHHH', 'FHFF', 'FHHF', 'FFFG']"
1,35,0,0.0,0.0,"['SHFH', 'FFFH', 'HFHF', 'FFFG']"
1,99,0,1.0,0.8426049842298329,"['SFHH', 'HFFF', 'HHHF', 'FFHG']"
1,58,0,0.0,0.0,"['SHFF', 'FFFF', 'HFFH', 'HHFG']"
1,70,0,1.0,0.8921050870283477,"['SFFF', 'HFHF', 'HFFH', 'HFFG']"
1,24,0,1.0,0.8709180316048211,"['SFFH', 'FHFF', 'FFHF', 'HFFG']"
1,55,0,1.0,0.985089730404757,"['SHHH', 'FFFH', 'FHHH', 'FFFG']"
1,25,0,1.0,0.7887102894272789,"['SFFH', 'HHFH', 'FHFF', 'FHHG']"
1,19,0,0.0,0.0,"['SFFF', 'FFFF', 'HHFH', 'FFFG']"
1,32,0,1.0,0.8814479033836181,"['SFHH', 'FFFF', 'HHFF', 'FHHG']"
1,14,0,0.0,0.0,"['SFHH', 'FFFH', 'FFFF', 'FHHG']"
1,29,0,1.0,0.9416796087056153,"['SHHF', 'FHFH', 'FFFH', 'HFFG']"
1,94,0,1.0,0.9248559951318693,"['SFFH', 'HFFF', 'FFHH', 'HFFG']"
1,21,0,0.0,0.0,"['SHFH', 'FFFH', 'FFFF', 'FHFG']"
1,92,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'HFHH', 'HFFG']"
1,32,0,1.0,0.93603800616986,"['SFFF', 'HFHF', 'HFFH', 'FFFG']"
1,22,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'HFHG']"
1,2,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFF', 'HHFG']"
