Temperature,Simulations,Return,Discounted Return,Map
1,55,0,1.0,0.9645880999032158,"['SFHF', 'HFFF', 'FHFF', 'HFHG']"
1,95,0,1.0,0.8054737627981655,"['SFHF', 'FHHF', 'FFFH', 'HHFG']"
1,24,0,0.0,0.0,"['SFHF', 'HFFF', 'HHHF', 'FFHG']"
1,40,0,1.0,0.9473552137914398,"['SHFF', 'FFFF', 'FHFF', 'FFHG']"
1,65,0,1.0,0.9733217421754432,"['SFHH', 'FFFH', 'FFFF', 'FHFG']"
1,68,0,1.0,0.9733217421754432,"['SFFH', 'FFHH', 'FFHH', 'HFFG']"
1,57,0,1.0,0.985089730404757,"['SFFF', 'FFFH', 'FHFF', 'FHFG']"
1,72,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'FHHG']"
1,13,0,1.0,0.9083329444789534,"['SFHF', 'FFHH', 'FFFH', 'HFFG']"
1,41,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HFHF', 'HHFG']"
1,3,0,0.0,0.0,"['SFFF', 'FHFF', 'FFFH', 'HHFG']"
1,9,0,0.0,0.0,"['SFHF', 'HFHH', 'FFHF', 'HFFG']"
1,22,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFH', 'FHFG']"
1,23,0,1.0,0.7910835400474212,"['SFFH', 'HHFF', 'FHHF', 'HHFG']"
1,59,0,1.0,0.9674905716180701,"['SFFF', 'FFFH', 'FFFH', 'HFFG']"
1,86,0,1.0,0.93603800616986,"['SFFF', 'FFFF', 'HHFH', 'FFFG']"
1,90,0,1.0,0.9530650263643888,"['SHFH', 'FFFF', 'HHFF', 'FFHG']"
1,37,0,1.0,0.9502058312852957,"['SHFF', 'FHFF', 'FFFH', 'FFFG']"
1,21,0,0.0,0.0,"['SFHH', 'FFFH', 'FFHF', 'HFFG']"
1,67,0,1.0,0.8225935318117279,"['SHFH', 'FFFF', 'HHHF', 'FFFG']"
1,11,0,0.0,0.0,"['SHFH', 'FHFF', 'FHFF', 'FFFG']"
1,71,0,1.0,0.9733217421754432,"['SFHF', 'FFFH', 'FFFF', 'HFHG']"
1,18,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'FHFF', 'FHFG']"
1,55,0,1.0,0.9473552137914398,"['SFHH', 'HFFH', 'HFFF', 'HHHG']"
1,61,0,1.0,0.9645880999032158,"['SFFF', 'HFFF', 'FFHF', 'HHFG']"
1,80,0,1.0,0.9530650263643888,"['SFFF', 'FHFH', 'HFFH', 'FFFG']"
