Temperature,Simulations,Return,Discounted Return,Map
1,20,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'FHFF', 'FFFG']"
1,20,0,1.0,0.8974819010978248,"['SFFH', 'HFFF', 'FHHF', 'FHFG']"
1,28,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFF', 'FFHG']"
1,97,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FFFF', 'HFFG']"
1,20,0,1.0,0.747188804859888,"['SHHH', 'FFHF', 'FHHH', 'FFFG']"
1,86,0,1.0,0.8502341582884777,"['SHFH', 'FFFF', 'HFHH', 'HFFG']"
1,33,0,1.0,0.9445131481500655,"['SFHF', 'HFFF', 'HFHF', 'HFHG']"
1,84,0,1.0,0.985089730404757,"['SHFF', 'FHFH', 'FHFH', 'FFFG']"
1,19,0,0.0,0.0,"['SFFH', 'HHFF', 'FFFH', 'FFFG']"
1,39,0,0.0,0.0,"['SFHF', 'HFHH', 'FFFF', 'HHHG']"
1,40,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFH', 'HFFG']"
1,74,0,1.0,0.9220814271464737,"['SFHF', 'FFHF', 'HFFF', 'HHHG']"
1,58,0,1.0,0.9733217421754432,"['SHHF', 'FFFF', 'FHFH', 'FFFG']"
1,19,0,0.0,0.0,"['SFHH', 'FHHF', 'FFHH', 'HFFG']"
1,9,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'HFFG']"
1,32,0,1.0,0.9674905716180701,"['SHFF', 'FHHF', 'FFFH', 'FFFG']"
1,50,0,1.0,0.7630697687590515,"['SFHF', 'FFFF', 'HHHF', 'HHFG']"
1,25,0,1.0,0.8103284404851119,"['SFHH', 'HFFF', 'FFHH', 'FFFG']"
1,97,0,1.0,0.9762504936564125,"['SFFH', 'FHFF', 'FHFF', 'FFHG']"
1,17,0,0.0,0.0,"['SHFH', 'FHHF', 'FHHH', 'FFFG']"
1,73,0,0.0,0.0,"['SFHF', 'HFFH', 'FFHH', 'HFFG']"
1,30,0,1.0,0.9821344612135428,"['SFHH', 'FHHF', 'FHFH', 'FFFG']"
1,39,0,1.0,0.9502058312852957,"['SFFH', 'FHFH', 'FFFF', 'FFFG']"
1,56,0,1.0,0.9588092525966956,"['SFHH', 'HFFH', 'FFFF', 'HHHG']"
1,56,0,1.0,0.9445131481500655,"['SFFF', 'HFHF', 'HFFF', 'FFHG']"
1,62,0,1.0,0.9645880999032158,"['SFFF', 'HFFF', 'FFHF', 'HHFG']"
1,37,0,1.0,0.7910835400474212,"['SFFF', 'FFFH', 'FHFH', 'FHFG']"
1,38,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'HHHG']"
1,38,0,1.0,0.8502341582884777,"['SFFH', 'FHFF', 'HHFH', 'HHFG']"
1,70,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFH', 'HHFG']"
1,29,0,0.0,0.0,"['SHFH', 'FFFF', 'HFFH', 'HHFG']"
1,12,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHH', 'HFFG']"
1,40,0,1.0,0.985089730404757,"['SFFF', 'FHHH', 'FFFH', 'FFFG']"
1,56,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'HFFF', 'FHFG']"
1,46,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HHFF', 'HFFG']"
1,13,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFF', 'HHFG']"
1,57,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFF', 'HFHG']"
1,50,0,1.0,0.9530650263643888,"['SHFF', 'FFFF', 'HFFH', 'FFFG']"
