train_sizes,train_mean,train_std,test_mean,test_std
8,0.9469473870790857,0.09864424888740575,-0.12770315826893802,0.16748579441469433
22,0.7125764416432858,0.3063412852095592,0.0022070511626749666,0.16902257655331737
36,-0.5870499269953265,2.7763038611705912,-1.1858832074570327,2.38798103467387
51,0.42035116810697104,0.40067794829823133,-0.05415278205026834,0.3098924482944226
65,-0.13433874629876308,2.0155689559602235,-0.7401947256849539,2.0310040698595064
80,0.7815035027263451,0.07864211220997437,0.2080126502558315,0.03681382250242468
160,0.7607533406217045,0.012118099103606337,0.27996539877197185,0.07606969921095053
240,0.5527287369665566,0.1052193612988629,0.2980959913881495,0.10002651327932012
320,0.5609662997513896,0.08057858354401028,0.3393340208135249,0.095140741278436
400,0.544333822804553,0.06943334989420588,0.37432338372660184,0.0694945425381077
480,0.5414739053263457,0.057478277116075775,0.35972320076262576,0.1287563776899844
560,0.581329709331359,0.06306460126032486,0.43758663522864544,0.08203554533591625
640,0.5919980874170572,0.04801056508317047,0.49005481371269655,0.09334179500273003
720,0.5543992223711133,0.07771150967878729,0.3975135733794203,0.10908997477117217
800,0.6139089099473004,0.06004240528151315,0.47789070460358085,0.11191389969961692
