Temperature,Simulations,Return,Discounted Return
1,78,1.0,0.9645880999032158
1,47,1.0,0.9445131481500655
1,14,1.0,0.8426049842298329
1,76,1.0,0.985089730404757
1,75,1.0,0.9332298921513504
1,16,1.0,0.8657003616774767
1,77,1.0,0.9762504936564125
1,94,1.0,0.9530650263643888
1,85,1.0,0.9821344612135428
1,19,0.0,0.0
1,82,1.0,0.9791880578299021
1,38,1.0,0.9704017769489168
1,70,1.0,0.985089730404757
1,51,1.0,0.9332298921513504
1,84,1.0,0.9733217421754432
1,35,1.0,0.8947894553945313
1,19,1.0,0.8735386475474635
1,27,1.0,0.8553586117313603
1,78,1.0,0.9530650263643888
1,62,1.0,0.9248559951318693
1,38,1.0,0.93603800616986
1,8,0.0,0.0
1,67,1.0,0.9674905716180701
1,53,1.0,0.9588092525966956
1,45,1.0,0.9588092525966956
1,80,1.0,0.9762504936564125
1,88,1.0,0.9821344612135428
1,96,1.0,0.9674905716180701
1,83,1.0,0.9445131481500655
1,100,1.0,0.9530650263643888
1,56,1.0,0.9559328248389055
1,49,1.0,0.9791880578299021
1,31,1.0,0.9110661429076764
1,91,1.0,0.9762504936564125
1,66,1.0,0.9445131481500655
1,76,1.0,0.9248559951318693
1,16,0.0,0.0
1,26,1.0,0.9559328248389055
1,43,1.0,0.8735386475474635
1,59,1.0,0.9645880999032158
1,47,1.0,0.9791880578299021
1,85,1.0,0.9473552137914398
1,40,1.0,0.9733217421754432
1,20,1.0,0.8947894553945313
1,75,1.0,0.9733217421754432
1,92,1.0,0.985089730404757
1,99,1.0,0.9674905716180701
1,14,1.0,0.9001824484431542
1,7,0.0,0.0
1,7,0.0,0.0
1,96,1.0,0.9530650263643888
1,8,0.0,0.0
1,10,0.0,0.0
1,2,0.0,0.0
1,71,1.0,0.9704017769489168
1,27,1.0,0.8553586117313603
1,16,1.0,0.9530650263643888
1,77,1.0,0.9416796087056153
1,37,1.0,0.9138075656044898
1,88,1.0,0.9733217421754432
1,50,1.0,0.9138075656044898
1,78,1.0,0.9559328248389055
1,1,0.0,0.0
1,31,1.0,0.9674905716180701
1,9,0.0,0.0
1,71,1.0,0.9674905716180701
1,59,1.0,0.985089730404757
1,44,1.0,0.90289112180858
1,10,0.0,0.0
1,100,1.0,0.985089730404757
1,23,0.0,0.0
