Temperature,Simulations,Return,Discounted Return
1,14,0.0,0.0
1,88,1.0,0.9704017769489168
1,58,1.0,0.9616943356035061
1,47,1.0,0.9645880999032158
1,85,1.0,0.9559328248389055
1,56,1.0,0.93603800616986
1,98,1.0,0.9821344612135428
1,58,1.0,0.985089730404757
1,94,1.0,0.9733217421754432
1,89,1.0,0.9616943356035061
1,43,0.0,0.0
1,54,1.0,0.9138075656044898
1,2,0.0,0.0
1,2,0.0,0.0
1,90,1.0,0.9674905716180701
1,18,1.0,0.8103284404851119
1,75,1.0,0.9762504936564125
1,84,1.0,0.9762504936564125
1,22,1.0,0.9674905716180701
1,3,0.0,0.0
1,44,1.0,0.8974819010978248
1,10,0.0,0.0
1,34,1.0,0.9304302024748964
1,71,1.0,0.9220814271464737
1,4,0.0,0.0
1,88,1.0,0.9733217421754432
1,12,1.0,0.78398512608332
1,2,0.0,0.0
1,53,1.0,0.985089730404757
1,8,0.0,0.0
1,14,0.0,0.0
1,49,1.0,0.9588092525966956
1,82,1.0,0.9733217421754432
1,19,1.0,0.9559328248389055
1,35,1.0,0.9388545698794984
1,21,0.0,0.0
1,32,1.0,0.9083329444789534
1,34,1.0,0.8201257512162927
1,61,1.0,0.9502058312852957
1,30,1.0,0.9165572373164391
1,78,1.0,0.8814479033836181
1,73,1.0,0.9733217421754432
1,99,1.0,0.93603800616986
1,72,1.0,0.9445131481500655
1,10,1.0,0.9056079456455165
1,28,1.0,0.9588092525966956
1,81,1.0,0.9559328248389055
1,80,1.0,0.9445131481500655
1,7,1.0,0.9083329444789534
1,28,0.0,0.0
1,53,1.0,0.9616943356035061
1,38,1.0,0.9559328248389055
1,92,1.0,0.9791880578299021
1,32,1.0,0.8451404054461714
1,55,1.0,0.9762504936564125
1,58,1.0,0.9332298921513504
1,64,1.0,0.9704017769489168
1,2,0.0,0.0
1,89,1.0,0.9791880578299021
1,72,1.0,0.9530650263643888
1,73,1.0,0.9674905716180701
1,24,1.0,0.8894287717672626
1,12,0.0,0.0
1,5,0.0,0.0
1,45,1.0,0.9248559951318693
1,96,1.0,0.9530650263643888
1,83,1.0,0.9821344612135428
1,28,1.0,0.9645880999032158
1,39,1.0,0.9083329444789534
1,56,1.0,0.9733217421754432
1,22,1.0,0.776950406379376
1,60,1.0,0.9588092525966956
1,16,0.0,0.0
1,54,1.0,0.985089730404757
1,64,1.0,0.9530650263643888
1,14,1.0,0.7816331707050701
1,89,1.0,0.9674905716180701
1,99,1.0,0.9821344612135428
1,71,1.0,0.9821344612135428
1,20,1.0,0.7792882711929549
1,30,1.0,0.9276389118674717
1,68,1.0,0.9502058312852957
1,92,1.0,0.985089730404757
1,35,0.0,0.0
1,41,1.0,0.9416796087056153
1,14,1.0,0.9056079456455165
1,59,1.0,0.8502341582884777
1,55,1.0,0.8502341582884777
1,21,1.0,0.776950406379376
1,92,1.0,0.9276389118674717
1,7,0.0,0.0
1,10,0.0,0.0
1,4,0.0,0.0
1,49,1.0,0.93603800616986
1,19,1.0,0.835044266956004
1,94,1.0,0.9674905716180701
1,16,1.0,0.798246224976786
1,92,1.0,0.9388545698794984
1,94,1.0,0.9733217421754432
1,81,1.0,0.9733217421754432
1,9,0.0,0.0
1,77,1.0,0.9645880999032158
1,33,1.0,0.9056079456455165
1,92,1.0,0.9588092525966956
1,90,1.0,0.9791880578299021
1,41,1.0,0.9248559951318693
1,16,0.0,0.0
1,97,1.0,0.9559328248389055
1,29,1.0,0.9473552137914398
1,97,1.0,0.9645880999032158
1,3,0.0,0.0
1,19,1.0,0.9616943356035061
1,84,1.0,0.9502058312852957
1,47,1.0,0.9332298921513504
1,4,0.0,0.0
1,98,1.0,0.9502058312852957
1,94,1.0,0.9704017769489168
1,69,1.0,0.9733217421754432
1,29,1.0,0.9332298921513504
1,57,1.0,0.9559328248389055
1,56,1.0,0.93603800616986
1,82,1.0,0.9733217421754432
1,100,1.0,0.9791880578299021
1,1,0.0,0.0
1,83,1.0,0.9473552137914398
1,73,1.0,0.9791880578299021
1,17,1.0,0.8894287717672626
1,25,1.0,0.78398512608332
1,71,1.0,0.9674905716180701
1,48,1.0,0.9645880999032158
1,77,1.0,0.9821344612135428
1,52,1.0,0.9762504936564125
1,5,0.0,0.0
1,49,1.0,0.9056079456455165
1,36,1.0,0.9473552137914398
1,55,1.0,0.9473552137914398
1,66,1.0,0.985089730404757
1,54,1.0,0.9304302024748964
1,87,1.0,0.9821344612135428
1,93,1.0,0.9821344612135428
1,10,0.0,0.0
1,74,1.0,0.9762504936564125
1,20,1.0,0.8894287717672626
