train_sizes,train_mean,train_std,test_mean,test_std
1208,0.5437610950425104,0.08183471044845916,0.4710644443015862,0.0973249562180868
3382,0.7795891414618812,0.08858235348071879,0.5738258900236205,0.04487004170586428
5556,0.8661880209122345,0.06039027624500912,0.5619017427372809,0.049966135621496266
7731,0.8318693922136682,0.08962068891385977,0.5934747639395302,0.051036929914936593
9905,0.8756023507617632,0.08341271849102035,0.5673941343191027,0.029558792446619773
12080,0.9077918726612623,0.007858722749863292,0.5587191325722987,0.0079839543593435
24160,0.8946391559850067,0.008560797771902332,0.5769128147602032,0.002826562358286515
36240,0.870603386023942,0.004174390117692913,0.5933732754690599,0.004485315840444178
48320,0.8526916678949779,0.008645030687516578,0.6071326931727064,0.004053179759837883
60400,0.8371944594532186,0.007912518377226289,0.6212379831664165,0.010314585857267354
72480,0.825443501541088,0.004140017826493124,0.6376223631237942,0.005652251424145594
84560,0.8018840673821886,0.006244911292522174,0.6549325669439786,0.009686031355720388
96640,0.7977591415719865,0.006240805233659324,0.6575193878782326,0.00456109291077157
108720,0.7735961927813687,0.02266577620480487,0.6718786567632913,0.017712936371704274
120800,0.7655096676609295,0.016881035866085924,0.6788121411882861,0.004218024976568485
