train_sizes,train_mean,train_std,test_mean,test_std
1986,0.6177305331029688,0.03134195566781627,-0.9402173640885161,0.9508727516019284
3773,0.6018862504992986,0.05599032604341251,-1.0543204613442203,0.604274313215371
5561,0.6200785085198957,0.014235114840531212,-1.1422426732796107,0.6226836806456656
7349,0.6140121991203004,0.05132481450304506,-1.1976794753967699,0.632243250074865
9136,0.6348842628276212,0.04119066324563217,-1.1953880689441647,0.6363000744245604
10924,0.6519386214203673,0.07030262486088347,0.4903029264104565,0.11999414842724528
12712,0.6857346987976519,0.0467013088378459,0.5703852260135263,0.08339357311173007
14499,0.7116271660098887,0.019366311882288413,0.5588207994481316,0.0911569689571106
16287,0.7041915350875824,0.03937302448702648,0.5909900934214589,0.07434147334401467
18075,0.7430917244933166,0.0718159015241453,0.5751070975490679,0.08615848504323143
19863,0.7356036251445497,0.054366281492765955,0.5980424702446061,0.09220742993829424
39726,0.7880718778902432,0.04581614630120008,0.7239008234441532,0.021889244840756855
59589,0.7869090123305089,0.02631232354995868,0.7360552187682281,0.020604584617822913
79452,0.7602798782956046,0.024206837630274772,0.7339938164326842,0.016339213130686012
99315,0.7655030221553274,0.009581911514467252,0.7498669872591469,0.015181976398096453
119178,0.7673052946572553,0.015129516138726092,0.7543511849618069,0.01602700912773319
139041,0.7628997428576545,0.007129291723311608,0.751220700918428,0.010751041122925332
158904,0.7637072353065529,0.014682480132685038,0.7535060348317105,0.010155148503431256
178767,0.7657110903424856,0.014034296535219865,0.7557278329096877,0.017603220509877348
198630,0.7681914750254042,0.009030657787739524,0.75916819934439,0.011795030457926386
