train_sizes,train_mean,train_std,test_mean,test_std
1321,0.5629738578566065,0.035510491449383653,0.5060629522201894,0.03288828887464891
2510,0.5952047366663248,0.047808450600655465,0.5488903915367511,0.03927903192604062
3699,0.6382433001578643,0.05193771211152633,0.5835197679813293,0.02662934616196979
4888,0.6619962023384043,0.030921281334507365,0.6090909677995082,0.02731801073904777
6077,0.6611272857122277,0.03091210914475149,0.6119980747319382,0.0267731364026875
7266,0.65243542567021,0.043078409851507446,0.6036477738617259,0.04729952667724138
8456,0.6856543121320313,0.09029129199082998,0.6020973993913546,0.04064478765385244
9645,0.800476880147442,0.11234187645029178,0.5975192767273817,0.04688098934913236
10834,0.7766390559166944,0.13683724065743377,0.5766861198288974,0.05540516268220593
12023,0.6963260511670366,0.0796842458165465,0.6200877823264193,0.038018163667384315
13212,0.7139916382551561,0.13495212321711622,0.5932348652514451,0.07680409906373452
26425,0.8695608801071039,0.02565484070991071,0.5842942090157955,0.01060349821646974
39637,0.85643094250902,0.007802389523913735,0.6015158632225567,0.008642822590312845
52850,0.8395587912808049,0.00849294295857769,0.6194192924854567,0.007276145682373798
66062,0.8211792570201455,0.009964489991041206,0.6302276344262465,0.010845281117077091
79275,0.7915952579322738,0.013419064872321999,0.6568129898007529,0.0037297136704532137
92487,0.7864122604345766,0.012243667690423787,0.667790727353833,0.009468599399187415
105700,0.7720244341613615,0.010340619120432756,0.6743059372285048,0.007983877716718013
118912,0.7639510860849568,0.011637407715040427,0.6829655696500313,0.009273542692787615
132125,0.7506110116975242,0.01768519593796926,0.6893370978209424,0.006976791213394814
