train_sizes,train_mean,train_std,test_mean,test_std
1208,0.5026403590069546,0.04163472854857174,0.44457217850845865,0.030500979916089136
3382,0.6291455701171282,0.0672948786821015,0.5542620972933403,0.04201690965666869
5556,0.6917196225096012,0.014450777697958151,0.6024537026290572,0.021765371707806378
7731,0.6968668153988037,0.024862091090398334,0.6207916585344948,0.02032951517442594
9905,0.7260711775260322,0.02021316399857312,0.6425728823162016,0.011843493762354902
12080,0.7213953674286164,0.06527066178121567,0.6258043453919404,0.012765727776823088
24160,0.8076876723135236,0.06133934915135519,0.633893297014022,0.017325778007666992
36240,0.8150358362192879,0.005297471315065232,0.6364882643398936,0.0036710065479955956
48320,0.7966749272691416,0.009830022477117065,0.6465765142312895,0.005556991929899653
60400,0.7873001914639106,0.003685110240258421,0.6654473450435885,0.0027055642232614355
72480,0.765911833509694,0.012984551500875982,0.6732848831275074,0.010136441843956713
84560,0.7576794186750153,0.010041532754968661,0.6811302165929304,0.008179932757332408
96640,0.7490512563267748,0.005620927712992004,0.6963683048863734,0.003956490379750351
108720,0.7437119852449362,0.007302379685529348,0.6997816235428633,0.005866160809720408
120800,0.7302650147345664,0.008051832901598766,0.703552978325386,0.005068029511576098
