Temperature,Map,Simulations,Return,Discounted Return
1,"['SFFFF', 'FHFHH', 'FHFHH', 'FHFHH', 'HHFFG']",19,0.0,0.0
1,"['SFHFH', 'HFFFF', 'HHHHF', 'HFFHF', 'HHHHG']",25,0.0,0.0
1,"['SFHFF', 'HFFFF', 'FFHHF', 'FFFFH', 'HFHFG']",80,0.0,0.0
1,"['SFHFH', 'FHHHH', 'FFFFH', 'FFFFH', 'FHFFG']",15,0.0,0.0
1,"['SFFHF', 'FFHFH', 'FFHFF', 'FFFHF', 'FHFFG']",8,0.0,0.0
1,"['SHHHH', 'FHFFH', 'FFFFH', 'HHFFF', 'HFHFG']",85,0.0,0.0
1,"['SHFHF', 'FFFFH', 'HFHFF', 'HFHFH', 'HFHFG']",2,0.0,0.0
1,"['SFHHH', 'HFFFH', 'HHHFH', 'HHHFH', 'HHHFG']",76,0.0,0.0
1,"['SHHFH', 'FFFHH', 'HFHHH', 'HFFHH', 'FHFFG']",39,0.0,0.0
1,"['SHHHH', 'FFFHH', 'HHFFH', 'HHHFH', 'HHHFG']",74,0.0,0.0
1,"['SHHFF', 'FHHHF', 'FFHHF', 'FFFFF', 'HHFHG']",79,0.0,0.0
1,"['SHHFH', 'FHFHF', 'FHFHF', 'FFFFF', 'HHFFG']",70,0.0,0.0
1,"['SHHHH', 'FHFHH', 'FHHHF', 'FFFHH', 'HHFFG']",7,0.0,0.0
1,"['SFFFF', 'FFFFF', 'FFFFF', 'HFFFF', 'FFFFG']",71,1.0,0.9704017769489168
1,"['SHHHH', 'FFHHH', 'HFFHH', 'HHFFH', 'FHFFG']",84,0.0,0.0
1,"['SFFHF', 'HFHFF', 'FFFFF', 'FFHFH', 'FFHFG']",69,0.0,0.0
1,"['SFHFH', 'FHFFF', 'FHHFH', 'FFFHH', 'FHFFG']",78,0.0,0.0
1,"['SFFFH', 'FHHFH', 'FFHFH', 'FHHFF', 'FFHHG']",59,1.0,0.7630697687590515
1,"['SHHFH', 'FFFHH', 'HHFFH', 'HHFHH', 'FFFFG']",68,0.0,0.0
1,"['SFHHH', 'FHHHH', 'FHHHH', 'FFHHH', 'HFFFG']",71,0.0,0.0
1,"['SHFHH', 'FFFFF', 'FFFFF', 'FFFFH', 'FFFFG']",98,1.0,0.9704017769489168
1,"['SHFFH', 'FHFHH', 'FHHHF', 'FFHHH', 'HFFFG']",30,0.0,0.0
1,"['SFHHH', 'HFFFH', 'FHHFH', 'HHHFF', 'HFHHG']",69,0.0,0.0
1,"['SHFHF', 'FFFFF', 'FFFFF', 'FFHFF', 'FHFFG']",62,0.0,0.0
1,"['SHHFH', 'FFFHF', 'FFFFF', 'HHFHF', 'FHHFG']",71,0.0,0.0
1,"['SFHHH', 'FHHHF', 'FFFHF', 'FHFFF', 'HHFFG']",60,0.0,0.0
1,"['SHFFF', 'FFFHF', 'FFHFF', 'FHFHF', 'FFFFG']",37,0.0,0.0
1,"['SFFFF', 'FFHFH', 'FFFFH', 'FHFFF', 'HHFFG']",42,0.0,0.0
1,"['SHFFH', 'FFFFH', 'HHFHH', 'HFFFH', 'HFHFG']",38,0.0,0.0
1,"['SHFHH', 'FHHHH', 'FFFFF', 'HHHHF', 'HHHHG']",61,0.0,0.0
1,"['SFFFF', 'FFFHH', 'FHFFF', 'HFHHF', 'FFFHG']",2,0.0,0.0
1,"['SHHHF', 'FHHHH', 'FFFFF', 'HHHFH', 'HHHFG']",40,0.0,0.0
1,"['SFHFF', 'FFFFF', 'FFFHF', 'FFFFF', 'FFHFG']",36,1.0,0.9616943356035061
1,"['SFFHH', 'HFFHF', 'FFFFF', 'FFHFH', 'FFFFG']",62,0.0,0.0
