train_sizes,train_mean,train_std,test_mean,test_std
88,0.768786894362129,0.062062665345341154,0.33675091088641473,0.02328457906719916
246,0.6684815643813955,0.013245655306181582,0.5517739104167921,0.021769145817039832
404,0.6647846331059684,0.0020116375646745508,0.5877242914457815,0.013766498425734845
563,0.6771539324575727,0.014145875827585285,0.599925745857449,0.013711181433362344
721,0.6687940422215215,0.01923312790277967,0.6188252346251888,0.0151248100342293
880,0.6189460583570536,0.02462246775267598,0.622204590016696,0.015236550386283972
1760,0.6399448456992538,0.019488210306091158,0.6348060817643543,0.017597663431721092
2640,0.6352826277831612,0.00938166929421332,0.6407205399586148,0.018311040765395314
3520,0.6474840787396245,0.01247251614081222,0.6434962333374662,0.01874501569068122
4400,0.6474632185999489,0.0060391002147099,0.6453239120587607,0.019492418220839493
5280,0.6619408547302236,0.016895682816114647,0.6454654342879989,0.01877338268353807
6160,0.6568588054396843,0.010106913666818726,0.6458638087597606,0.019082382386030952
7040,0.6546336631950396,0.005986586808962292,0.6458989571098355,0.0194388306815781
7920,0.653157828395749,0.006978439581567153,0.6463282837733758,0.019117494112561126
8800,0.6525850210685513,0.004899383793486839,0.6464891356931075,0.019254962896837036
