train_sizes,train_mean,train_std,test_mean,test_std
88,-61.88380297129642,9.062671988551845,-42.589516302373646,2.583961390344778
167,-67.7621005184163,0.2535338548169925,-42.336770857874924,2.456312921436661
246,-57.28351415623117,6.602621984457603,-38.83787588632941,2.2771354866118405
325,-54.09567352041125,12.512746566563177,-38.779775740517245,2.3622256175621787
404,-45.86158187480974,6.46024573059349,-35.10925056330435,2.0998204014150166
484,-42.026145656818265,3.0644851821770476,-35.086913131379745,2.039444314685903
563,-44.6888400540922,0.37402012055912703,-35.13330567031246,1.9375356836572695
642,-38.333734971407225,0.498797858676842,-31.983011023293567,2.0335776761417996
721,-38.34963433028505,1.1976326763809735,-31.94538185630383,1.880729470444742
800,-40.141256554266974,0.7382725361368112,-32.01154299304485,1.7998580677991909
880,-36.664411130435965,0.32351879678709844,-29.054858600057923,1.828049461718702
1760,-20.58589678837246,0.9020110728330837,-18.745112639793877,1.2907534558910627
2640,-11.062527180284267,0.446133103625862,-9.967627878044999,0.6765403840085216
3520,-5.5698974631326905,0.12403697658761112,-5.309586803515527,0.3983401699201961
4400,-2.265821891785251,0.09881826333564055,-2.22235032338417,0.21176898674689434
5280,-0.19464686507024126,0.026602919172598036,-0.23663150343935785,0.08055354978514094
6160,0.3987609999420362,0.01616897611246877,0.38161048600692826,0.03155406042610772
7040,0.6142244157147756,0.005409586345640987,0.6057258455295708,0.018630888856047773
7920,0.6448967233154843,0.006893910008350808,0.640573394487366,0.018836826279988422
8800,0.6499791358482385,0.0048505604032013806,0.6459738599431469,0.018551255663817906
