Temperature,Simulations,Return,Discounted Return,Map
1,83,1.0,0.985089730404757,"['SFHH', 'HFHH', 'HFFF', 'FHHG']"
1,85,1.0,0.985089730404757,"['SFHH', 'HFHH', 'HFFF', 'FHHG']"
1,86,1.0,0.9645880999032158,"['SFHH', 'HFHH', 'HFFF', 'FHHG']"
1,88,1.0,0.9791880578299021,"['SFHH', 'HFHH', 'HFFF', 'FHHG']"
1,91,1.0,0.9733217421754432,"['SFHH', 'HFHH', 'HFFF', 'FHHG']"
1,93,1.0,0.9645880999032158,"['SFHH', 'HFHH', 'HFFF', 'FHHG']"
1,99,1.0,0.9821344612135428,"['SFHH', 'HFHH', 'HFFF', 'FHHG']"
1,14,0.0,0.0,"['SFHH', 'HFHH', 'HFFF', 'HFFG']"
1,10,1.0,0.8300415167526705,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,19,1.0,0.8006481694852418,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,26,1.0,0.9762504936564125,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,27,1.0,0.8426049842298329,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,31,1.0,0.9559328248389055,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,33,1.0,0.9588092525966956,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,35,1.0,0.7516921927868743,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,36,1.0,0.9645880999032158,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,37,1.0,0.8814479033836181,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,38,1.0,0.9733217421754432,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,41,1.0,0.9110661429076764,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,42,1.0,0.8735386475474635,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,43,1.0,0.9762504936564125,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,45,1.0,0.9645880999032158,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,46,1.0,0.9473552137914398,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,48,1.0,0.9674905716180701,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,50,1.0,0.90289112180858,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,52,1.0,0.9388545698794984,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,54,1.0,0.9138075656044898,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,55,1.0,0.8921050870283477,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,57,1.0,0.9821344612135428,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,58,1.0,0.9588092525966956,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,59,1.0,0.9645880999032158,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,60,1.0,0.9791880578299021,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,64,1.0,0.9645880999032158,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,67,1.0,0.9791880578299021,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,71,1.0,0.9762504936564125,"['SFHH', 'HFHH', 'HFFF', 'HFHG']"
1,11,0.0,0.0,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,12,1.0,0.8250687380258053,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,15,1.0,0.8325391341551359,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,16,1.0,0.8894287717672626,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,17,1.0,0.9083329444789534,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,18,1.0,0.90289112180858,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,19,0.0,0.0,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,21,1.0,0.9445131481500655,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,23,1.0,0.9733217421754432,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,24,1.0,0.8683052775100066,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,26,1.0,0.767668872977057,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,27,1.0,0.9588092525966956,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,28,1.0,0.9220814271464737,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,29,1.0,0.9056079456455165,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,30,1.0,0.798246224976786,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,34,1.0,0.9704017769489168,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,36,1.0,0.8735386475474635,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,38,1.0,0.9332298921513504,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,39,1.0,0.9473552137914398,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,42,1.0,0.8451404054461714,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,30,1.0,0.8974819010978248,"['SFHH', 'HFHH', 'HFFF', 'HHHG']"
1,31,1.0,0.9416796087056153,"['SFHH', 'HFHH', 'HFFF', 'HHHG']"
1,32,1.0,0.9530650263643888,"['SFHH', 'HFHH', 'HFFF', 'HHHG']"
1,34,1.0,0.9276389118674717,"['SFHH', 'HFHH', 'HFFF', 'HHHG']"
